Species ID,Woodfall,Tag Color,Site,Biomass (mg),Individuals
Poly-31,29,O,WF4,0.01,1
Poly-32,29,O,WF4,0.01,1
Poly-35,29,O,WF4,0.17,1
Poly-39,29,O,WF4,0.23,1
Poly-41,29,O,WF4,0.08,1
Poly-42,43,O,WF4,0.05,1
Poly-44,43,O,WF4,2.03,1
Poly-45,43,O,WF4,0.52,1
Poly-46,43,O,WF4,0.1,1
Poly-47,29,O,WF4,0.01,1
Poly-49,43,O,WF4,0.01,1
Poly-51,13,W,WF1,0.06,1
Poly-51,16,G,WF1,1.93,1
Poly-53,16,G,WF1,0.01,1
Poly-54,16,G,WF1,0.04,1
Poly-55,16,G,WF1,0.01,1
Poly-57,10,G,WF1,30.25,1
Poly-58,19,W,WF1,19.65,1
Poly-60,13,G,WF1,3.73,1
Poly-61,31,G,WF1,4.61,1
Poly-63,19,W,WF1,21.35,1
Poly-64,7,G,WF1,13.84,1
Poly-65,27,O,WF4,37.43,1
Poly-66,31,G,WF1,0.26,1
Poly-67,31,G,WF1,1.49,1
Poly-68,34,W,WF1,1.11,1
Poly-70,34,W,WF1,3.69,1
Poly-71,1,W,WF1,0.28,1
Poly-72,29,O,WF4,0.01,1
Poly-73,29,O,WF4,0.01,1
Poly-74,43,O,WF4,0.01,1
Poly-78,27,O,WF4,0.19,1
Poly-79,41,O,WF4,0.18,1
Poly-81,27,O,WF4,3.68,1
Poly-82,27,O,WF4,0.37,1
Poly-83,41,O,WF4,0.01,1
Poly-84,34,G,WF1,6.14,1
Poly-85,19,W,WF1,68.33,1
Poly-86,1,W,WF1,0.85,1
Poly-88,34,G,WF1,13.78,1
Poly-89,34,G,WF1,2.43,1
Poly-90,22,W,WF1,0.01,1
Poly-91,25,W,WF1,0.09,1
Poly-92,25,W,WF1,0.02,1
Poly-95,16,W,WF1,0.34,1
Poly-96,1,G,WF1,0.01,1
Poly-97,19,G,WF1,0.02,1
Poly-1,13,G,WF1,1.94,2
Poly-2,16,G,WF1,1.03,2
Poly-3,7,G,WF1,17.63,2
Poly-4,13,G,WF1,5.57,2
Poly-5,16,G,WF1,34.5,2
Poly-6,4,G,WF1,197.93,2
Poly-6,4,G,WF1,3.96,2
Poly-7,16,G,WF1,142.8,1
Poly-8,34,W,WF1,0.21,2
Poly-8,7,G,WF1,9.87,2
Poly-10,7,G,WF1,9.87,2
Poly-10,13,G,WF1,4.59,2
Poly-10,7,G,WF1,4.45,2
Poly-11,10,G,WF1,18.93,2
Poly-11,10,G,WF1,4.95,2
Poly-12,19,W,WF1,4.59,2
Poly-14,19,W,WF1,0.71,2
Poly-14,31,G,WF1,1.9,2
Poly-15,27,O,WF4,1.38,2
Poly-16,11,O,WF4,0.05,2
Poly-16,27,O,WF4,0.88,2
Poly-18,7,G,WF1,0.32,2
Poly-19,34,W,WF1,3.02,2
Poly-20,19,W,WF1,1.22,2
Poly-22,34,W,WF1,0.03,1
Poly-24,43,O,WF4,5.97,2
Poly-24,34,W,WF1,2.96,2
Poly-25,29,O,WF4,0.04,2
Poly-26,29,O,WF4,0.01,2
Poly-27,34,W,WF1,0.26,2
Poly-29,43,O,WF4,5.75,2
Poly-30,16,G,WF1,0.1,2
Poly-31,24,O,WF4,0.02,2
Poly-35,29,O,WF1,1.97,2
Poly-35,13,O,WF4,5.07,2
Poly-42,29,G,WF1,0.21,2
Poly-44,43,O,WF4,0.65,2
Poly-45,4,O,WF4,0.11,1
Poly-46,43,G,WF1,0.23,2
Poly-47,43,O,WF1,0.03,1
Poly-47,19,W,WF1,0.12,2
Poly-51,34,W,WF1,3.45,2
Poly-53,19,W,WF1,0.02,2
Poly-54,19,W,WF1,0.01,1
Poly-57,10,G,WF1,19.48,2
Poly-62,34,G,WF1,133.84,1
Poly-62,34,G,WF1,7.51,1
Poly-62,34,,WF1,4.45,1
Poly-63,10,,WF1,9.37,1
Poly-63,34,G,WF1,65.52,1
Poly-64,10,G,WF1,39.71,1
Poly-64,31,G,WF1,32.55,1
Poly-66,10,G,WF1,3.72,1
Poly-66,31,G,WF1,0.86,1
Poly-67,34,G,WF1,212.44,1
Poly-67,34,G,WF1,33.76,2
Poly-68,19,W,WF1,12.21,2
Poly-70,27,O,WF1,34.16,2
Poly-71,11,O,WF1,0.07,2
Poly-71,1,W,WF1,1.28,2
Poly-72,29,O,WF1,0.05,2
Poly-74,43,O,WF1,0.02,1
Poly-78,27,O,WF1,0.49,3
Poly-81,27,O,WF1,4.66,2
Poly-82,27,O,WF1,0.44,2
Poly-85,19,W,WF1,396.17,3
Poly-86,19,W,WF1,1.71,2
Poly-88,34,G,WF1,25.01,2
Poly-88,34,G,WF1,0.18,2
Poly-89,34,G,WF1,1.81,2
Poly-90,22,W,WF1,0.01,2
